Product name,Description,Colours,Price,Sale Price,Discount,Product Link
Nike Mercurial Superfly 7 Club MG,Multi-Ground Football Boot,1 Colour,"₹5,995","₹4,797",20%,https://www.nike.com/in/t/mercurial-superfly-7-club-mg-multi-ground-football-boot-LTw0pW/AT7949-606
Korea,Women's Short-Sleeve Football Top,1 Colour,"₹3,495","₹2,797",20%,https://www.nike.com/in/t/korea-short-sleeve-football-top-d6qS3G/CV2701-100
Nike Renew Run,Men's Running Shoe,1 Colour,"₹6,995","₹5,597",20%,https://www.nike.com/in/t/renew-run-running-shoe-RhdGb5/CK6357-009
NikeCourt Air Zoom Zero,Men's Tennis Shoe,1 Colour,"₹11,995","₹9,597",20%,https://www.nike.com/in/t/nikecourt-air-zoom-zero-tennis-shoe-b7t9Hl/AA8018-302
NikeCourt Tech Challenge 20,Men's Tennis Shoe,1 Colour,"₹9,995","₹7,997",20%,https://www.nike.com/in/t/nikecourt-tech-challenge-20-tennis-shoe-zzQ49Z/BQ0234-101
Nike Sportswear,Men's Swoosh T-Shirt,2 Colours,"₹1,995","₹1,597",20%,https://www.nike.com/in/t/sportswear-swoosh-t-shirt-04wQ1L/CW0317-010
Nike Swoosh,Women's Medium-Support 1-Piece Pad Sports Bra,2 Colours,"₹2,095","₹1,677",20%,https://www.nike.com/in/t/swoosh-support-1-piece-pad-sports-bra-bhxKdc/BV3637-623
Nike React Metcon,Women's Training Shoe,1 Colour,"₹12,995","₹10,397",20%,https://www.nike.com/in/t/react-metcon-training-shoe-gLnbhP/BQ6046-010
Nike Air Max 90 NS SE,Women's Shoe,1 Colour,"₹10,995","₹8,797",20%,https://www.nike.com/in/t/air-max-90-se-shoe-M8qx13/CJ0623-100
Nike Free RN Flyknit 3.0,Men's Running Shoe,1 Colour,"₹10,995","₹5,497",50%,https://www.nike.com/in/t/free-rn-flyknit-3-running-shoe-vVqwz6/AQ5707-001
Nike React Vision,Women's Shoe,1 Colour,"₹10,995","₹7,697",30%,https://www.nike.com/in/t/react-vision-shoe-gssPrK/CI7523-100
